Cost Center,Cust Loc,Brand,Location,ITEM_CODE,ITEM_DESC,order_type,INV_DATE,QTY_SHIPPED,SELL_PRICE,NET_SALE,Promo Cat,subcat_1,subcat_2
,00000163 0001,Orkin Franchise,GUARDSMAN SERVICES (PR) LLC        ,ORK7298   ,ORKIN HIGH SIERRA CARABINER FLASHLIGHT  ,Inventory,7/10/2020,20,$8.75,$175.00,Flashlights,,
,00000163 0001,Orkin Franchise,GUARDSMAN SERVICES (PR) LLC        ,ORK8065   ,ShadeOrkin Auto Windshield              ,Inventory,7/10/2020,1,$11.69,$11.69,Vehicle,,
,00000163 0001,Orkin Franchise,GUARDSMAN SERVICES (PR) LLC        ,ORK7286   ,"TUMBLER, 12OZ VINAY STEMLESS            ",Inventory,7/10/2020,2,$8.75,$17.50,Drinkware,,
,00000163 0001,Orkin Franchise,GUARDSMAN SERVICES (PR) LLC        ,CB1001    ,ClipboardOrkin Points of Service (rev 01,Inventory,6/23/2020,10,$9.98,$99.80,Office,,
,00000163 0001,Orkin Franchise,GUARDSMAN SERVICES (PR) LLC        ,ORK6138   ,FIDGET SPINNER- ORKIN                   ,Inventory,1/22/2020,-3,$2.05,-$6.15,tradeshow,,
,00000163 0001,Orkin Franchise,GUARDSMAN SERVICES (PR) LLC        ,ORK4055   ,ORKIN HANDSANI                          ,Inventory,1/22/2020,-20,$20.25,-$40.50,Tradeshow,,
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK7203KS ,PoloOrkin Port Authority Ladies Silk Tou,POD,12/29/2020,1,$21.24,$21.24,Apparel,Polo,Womens
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK7208GM ,PoloOrkin Sport-Tek PosiCharge RacerMesh,POD,12/29/2020,1,$19.76,$19.76,Apparel,Polo,Mens
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK7218KM ,PoloOrkin Nike Dri-FIT Micro Pique      ,POD,12/29/2020,1,$38.12,$38.12,Apparel,Polo,Mens
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK40614X6,MatOrkin Olefin Door Mat Vertical       ,POD,11/5/2020,1,$109.26,$109.26,Office,,
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK7283   ,ORKIN BAWL TRUE WIRELESS AUTO EARBUDS   ,Inventory,10/19/2020,1,$14.51,$14.51,Tech,,
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK7220GM ,PoloOrkin Nike Dri-FIT Legacy           ,POD,10/19/2020,1,$43.72,$43.72,Apparel,Polo,Mens
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK4007   ,"ORKIN, WATCH FIELD CLASSIC SWISS ARMY   ",Inventory,10/12/2020,2,$97.73,$195.46,Watches,,
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK7301   ,ORKIN CLIP CLAP BLUETOOTH SPEAKER       ,Inventory,10/9/2020,1,$8.10,$8.10,Tech,,
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK7303   ,ORKIN BALBOA 20 CAN COOLER              ,Inventory,10/9/2020,1,$20.37,$20.37,Coolers,,
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK2012R  ,DIAMOND TIE BLACK REGULAR               ,Inventory,10/9/2020,1,$20.96,$20.96,Apparel,Tie,Mens
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK2013   ,ORKIN ANT LINE TIE                      ,Inventory,10/9/2020,1,$21.41,$21.41,Apparel,Tie,Mens
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK6017   ,"ORKIN BOUNDRY 20"" DUFFEL                ",Inventory,10/9/2020,1,$20.21,$20.21,Bags,,
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK6020   ,ORKIN - UNDER COVER LUNCH SACK          ,Inventory,10/9/2020,10,$3.78,$37.80,tradeshow,,
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK6076   ,ORKIN BALLOONS                          ,Inventory,9/30/2020,100,$14.85,$14.85,tradeshow,,
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK8030   ,ADHESIVE NOTE PAD WHITE                 ,Inventory,9/30/2020,50,$17.78,$35.56,Office,,
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK4019   ,ORKIN PENCIL (PACK OF 25)               ,Inventory,9/30/2020,25,$6.81,$6.81,Office,,
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK7316   ,"WATER BOTTLE, COLLAPSIBLE               ",Inventory,9/30/2020,10,$10.52,$105.20,Drinkware,,
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK7317   ,ORKIN COLOR FLIP INVERTED UMBRELLA      ,Inventory,9/30/2020,2,$18.36,$36.72,Umbrella,,
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK7309   ,"ROCKETBOOK 8.5"" X 11"" CORE LETTER       ",Inventory,9/30/2020,1,$60.71,$60.71,Office,,
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK8025   ,ORKIN FOAM MOUSEPAD                     ,Inventory,9/30/2020,10,$27.50,$27.50,Tech,,
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK8028   ,KAN-TASTIC BEVERAGE HOLDER              ,Inventory,9/30/2020,25,$26.27,$26.27,Drinkware,,
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK3026   ,ORKIN 15OZ BISTRO MUG                   ,Inventory,9/30/2020,2,$6.95,$13.90,Drinkware,,
,00000063 0001,Orkin Franchise,GUARDSMAN GROUP                    ,ORK7286   ,"TUMBLER, 12OZ VINAY STEMLESS            ",Inventory,9/30/2020,1,$8.61,$8.61,Drinkware,,
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK1091G2X,T-ShirtOrkin Serves                     ,Inventory,3/17/2020,6,$7.60,$45.60,Apparel,T-Shirt,All
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK1091GXL,T-ShirtOrkin Serves                     ,Inventory,3/17/2020,1,$6.10,$6.10,Apparel,T-Shirt,All
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK1091GXL,T-ShirtOrkin Serves                     ,Inventory,3/17/2020,7,$6.10,$42.70,Apparel,T-Shirt,All
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK1091G3X,T-ShirtOrkin Serves                     ,Inventory,3/17/2020,3,$8.90,$26.70,Apparel,T-Shirt,All
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK1091GL ,T-ShirtOrkin Serves                     ,Inventory,3/17/2020,8,$6.10,$48.80,Apparel,T-Shirt,All
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK1091GM ,T-ShirtOrkin Serves                     ,Inventory,3/17/2020,5,$6.10,$30.50,Apparel,T-Shirt,All
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK1091GS ,T-ShirtOrkin Serves                     ,Inventory,3/17/2020,4,$6.10,$24.40,Apparel,T-Shirt,All
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK1091G4X,T-ShirtOrkin Serves                     ,Inventory,3/17/2020,2,$8.90,$17.80,Apparel,T-Shirt,All
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK6138   ,Orkin Fidget Spinner                    ,Inventory,3/13/2020,5,$2.05,$10.25,tradeshow,,
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK8067   ,DuffelOrkin Trooper                     ,Inventory,3/12/2020,4,$13.00,$52.00,Bags,,
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK6123   ,Orkin Smart Phone Wallet                ,Inventory,3/12/2020,5,$1.75,$8.75,Tech,,
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK7298   ,FlashlightOrkin High Sierra Carabiner Ho,Inventory,3/12/2020,4,$8.75,$35.00,Flashlights,,
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK6057   ,Orkin Tattoos (Pack of 25)              ,Inventory,3/12/2020,50,$17.55,$35.10,Tradeshow,,
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK6127   ,TumblerOrkin 16 oz Hydro Cup with Lid   ,Inventory,3/12/2020,5,$5.95,$29.75,Drinkware,,
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK6020   ,CoolerOrkin Under Cover Lunch Sack      ,Inventory,3/12/2020,4,$3.78,$15.12,Coolers,,
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK6076   ,Orkin Balloons (Pack of 100)            ,Inventory,3/3/2020,200,$14.85,$29.70,tradeshow,,
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK7100R  ,TumblerOrkin Basecamp Tundra 20oz       ,Inventory,3/3/2020,3,$16.34,$49.02,Drinkware,,
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK8037   ,Orkin Eclipse Deluxe Business Briefcase ,Inventory,1/24/2020,1,$17.65,$17.65,bags,,
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK2013   ,Orkin Ant Line Tie                      ,Inventory,1/23/2020,1,$21.41,$21.41,Apparel,Tie,Mens
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK6043   ,Orkin Black Leather Portfolio           ,Inventory,1/23/2020,1,$32.72,$32.72,Office,,
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK6016   ,Orkin High Sierra Enzo Backpack         ,Inventory,1/23/2020,1,$29.18,$29.18,Bags,,
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK6071   ,BagOrkin Infinity Sport Cooler          ,Inventory,1/23/2020,1,$16.92,$16.92,Bags,,
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK2012R  ,Orkin Black Diamond Logo Tie            ,Inventory,1/23/2020,1,$20.96,$20.96,Apparel,Tie,Mens
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK6123   ,Smart Phone Wallet                      ,Inventory,1/23/2020,10,$1.75,$17.50,Tech,,
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK6133   ,"UmbrellaOrkin 58"" Vented Golf           ",Inventory,1/23/2020,2,$18.47,$36.94,Golf,,
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK8031   ,KitOrkin Shoe Care                      ,Inventory,1/23/2020,1,$6.39,$6.39,Office,,
751                 ,00005985 0751,Orkin,751 BIG ISLAND HAWAII              ,ORK7000   ,20oz Hugo Copper Vacuum Insulated Tumble,Inventory,1/23/2020,1,$14.41,$14.41,Drinkware,,
801                 ,00005985 0801,Orkin,801 HONOLULU                       ,ORK7274R  ,BagOrkin Eddie Bauer Ripstop Backpack   ,POD,12/13/2020,4,$52.20,$208.80,Bags,,
194                 ,00005985 0194,Orkin,194 KEY WEST                       ,ORK7255KXL,Rain JacketOrkin The North Face DryVent ,POD,9/27/2020,1,$105.96,$105.96,Apparel,Outerwear,Mens
194                 ,00005985 0194,Orkin,194 KEY WEST                       ,ORK7285   ,BagOrkin Large Waterproof Dry           ,Inventory,9/15/2020,1,$6.50,$6.50,Bags,,
194                 ,00005985 0194,Orkin,194 KEY WEST                       ,ORK8202KX ,PoloOrkin Mens Long Sleeve Evans        ,POD,2/22/2020,1,$26.67,$26.67,Apparel,Polo,Mens
194                 ,00005985 0194,Orkin,194 KEY WEST                       ,ORK2012R  ,TieOrkin Black Diamond Logo             ,Inventory,2/6/2020,3,$20.96,$62.88,Apparel,Tie,Mens
194                 ,00005985 0194,Orkin,194 KEY WEST                       ,ORK6003   ,LanyardOrkin Pk of 5                    ,Inventory,2/6/2020,5,$12.15,$12.15,tradeshow,,
194                 ,00005985 0194,Orkin,194 KEY WEST                       ,ORK2013   ,TieOrkin Ant Line                       ,Inventory,2/6/2020,1,$21.41,$21.41,Apparel,Tie,Mens
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ROL8217G  ,TowelRollins Port Authority Value Beach ,POD,12/13/2020,2,$19.77,$39.54,Blankets / Towels,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7276K  ,BagOrkin OGIO Marshall Pack             ,POD,12/13/2020,1,$45.62,$45.62,Bags,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7233W2X,FleeceOrkin Sport-Tek Sport-Wick Fleece ,POD,12/13/2020,1,$36.01,$36.01,Apparel,Fleece,Mens
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8216K  ,TowelOrkin Port Authority Cabana Stripe ,POD,12/13/2020,2,$27.16,$54.32,Blankets / Towels,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8216R  ,TowelOrkin Port Authority Cabana Stripe ,POD,12/13/2020,2,$27.16,$54.32,Blankets / Towels,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7257RL ,JacketOrkin Port Authority Core Soft She,POD,12/9/2020,1,$37.50,$37.50,Apparel,Outerwear,Mens
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK6043   ,PortfolioOrkin Black Leather            ,Inventory,12/7/2020,1,$32.72,$32.72,Office,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7286   ,TumblerOrkin 12oz Vinay                 ,Inventory,12/7/2020,2,$8.61,$17.22,Drinkware,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK2012L  ,TieOrkin Black Diamond Logo             ,Inventory,11/23/2020,1,$21.86,$21.86,Apparel,Tie,Mens
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8207W  ,HatOrkin Nike Dri-FIT Swoosh Perforated ,POD,10/13/2020,1,$26.80,$26.80,Apparel,Headwear,All
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8208   ,HatOrkin Carhartt Rugged Professional Se,POD,10/13/2020,1,$19.20,$19.20,Apparel,Headwear,All
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8207K  ,HatOrkin Nike Dri-FIT Swoosh Perforated ,POD,10/13/2020,2,$26.80,$53.60,Apparel,Headwear,All
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7308   ,ChargerOrkin Gravitis Wireless Car      ,POD,9/18/2020,2,$20.15,$40.30,Tech,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8207W  ,HatOrkin Nike Dri-FIT Swoosh Perforated ,POD,9/18/2020,1,$26.80,$26.80,Apparel,Headwear,All
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8215W  ,HatOrkin Port Authority Cool Release    ,POD,9/18/2020,2,$13.00,$26.00,Apparel,Headwear,All
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8218   ,SpeakerOrkin Wristler Wearable          ,POD,9/18/2020,2,$27.41,$54.82,Tech,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8207K  ,HatOrkin Nike Dri-FIT Swoosh Perforated ,POD,9/18/2020,1,$26.80,$26.80,Apparel,Headwear,All
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8215K  ,HatOrkin Port Authority Cool Release    ,POD,9/18/2020,2,$13.00,$26.00,Apparel,Headwear,All
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7312   ,BagOrkin Port Authority Midcity Messenge,POD,9/18/2020,1,$28.10,$28.10,Bags,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK2012R  ,TieOrkin Black Diamond Logo             ,Inventory,9/9/2020,2,$20.96,$41.92,Apparel,Tie,Mens
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK6071   ,CoolerOrkin Infinity Sport              ,Inventory,9/9/2020,1,$16.42,$16.42,Coolers,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7291   ,"BagOrkin Gridlock Vertical 15"" Computer ",Inventory,9/9/2020,1,$26.39,$26.39,Bags,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7303   ,CoolerOrkin Balboa 20 Can Cooler        ,Inventory,9/9/2020,1,$20.37,$20.37,Coolers,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7316   ,Water BottleOrkin Collapsible with Carab,Inventory,9/9/2020,2,$10.52,$21.04,Drinkware,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK6133   ,"UmbrellaOrkin 58"" Vented Golf           ",Inventory,9/9/2020,1,$17.40,$17.40,Golf,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK6043   ,PortfolioOrkin Black Leather            ,Inventory,9/9/2020,1,$32.72,$32.72,Office,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7299   ,BlanketOrkin Buffalo Plaid Ultra Plush T,Inventory,9/9/2020,1,$32.17,$32.17,Blankets / Towels,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8207W  ,HatOrkin Nike Dri-FIT Swoosh Perforated ,POD,8/19/2020,1,$26.80,$26.80,Apparel,Headwear,All
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8213K  ,HatOrkin Port Authority Snapback Trucker,POD,8/19/2020,2,$11.64,$23.28,Apparel,Headwear,All
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8214R  ,HatOrkin Sport-Tek Yupoong Flat Bill Sna,POD,8/19/2020,1,$14.55,$14.55,Apparel,Headwear,All
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8213R  ,HatOrkin Port Authority Snapback Trucker,POD,8/19/2020,2,$11.64,$23.28,Apparel,Headwear,All
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8214K  ,HatOrkin Sport-Tek Yupoong Flat Bill Sna,POD,8/19/2020,1,$14.55,$14.55,Apparel,Headwear,All
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8216K  ,TowelOrkin Port Authority Cabana Stripe ,POD,8/19/2020,1,$27.16,$27.16,Blankets / Towels,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8216R  ,TowelOrkin Port Authority Cabana Stripe ,POD,8/19/2020,1,$27.16,$27.16,Blankets / Towels,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7294   ,TumblerOrkin 20oz Arctic Zone Titan Ther,Inventory,8/18/2020,1,$27.30,$27.30,Drinkware,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7296   ,TumblerOrkin 30oz Arctic Zone Titan Ther,Inventory,8/5/2020,1,$30.76,$30.76,Drinkware,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7291   ,"BagOrkin Gridlock Vertical 15"" Computer ",Inventory,8/5/2020,1,$26.39,$26.39,Bags,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK6123   ,Orkin Smart Phone Wallet                ,Inventory,8/5/2020,3,$1.75,$5.25,Tech,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7273R  ,ORKIN EB MEDIUM RIPSTOP DUFFEL RED      ,POD,4/15/2020,2,$35.28,$70.56,Bags,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7274R  ,ORKIN EB RIPSTOP BACKPACK RADISH/GREY   ,POD,4/15/2020,1,$52.20,$52.20,Bags,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7222WXL,"POLO, NIKE DRI-FIT VERT-WHITE XL        ",POD,3/29/2020,1,$39.05,$39.05,Apparel,Polo,Mens
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7233WXL,"JACKET, ST FLEECE-WHITE XL              ",POD,3/29/2020,1,$34.53,$34.53,Apparel,Fleece,Mens
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK6129   ,ToolOrkin 16-in-1 Flashlight Laser Multi,Inventory,3/13/2020,1,$14.96,$14.96,Tools,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK6043   ,PortfolioOrkin Black Leather            ,Inventory,3/13/2020,1,$32.72,$32.72,Office,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7299   ,BlanketOrkin Buffalo Plaid Ultra Plush T,Inventory,3/13/2020,1,$32.17,$32.17,Blankets / Towels,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7298   ,FlashlightOrkin High Sierra Carabiner Ho,Inventory,3/13/2020,2,$8.75,$17.50,Flashlights,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK6120   ,PenOrkin Touch Free Stylus with LED     ,Inventory,3/13/2020,10,$2.36,$23.60,Office,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7291   ,"BagOrkin Gridlock Vertical 15"" Computer ",Inventory,3/13/2020,1,$26.39,$26.39,Bags,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7296   ,TumblerOrkin 30oz Arctic Zone Titan Ther,Inventory,3/13/2020,1,$30.76,$30.76,Drinkware,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7295   ,MugOrkin 14oz Arctic Zone Titan Thermal ,Inventory,3/13/2020,1,$21.07,$21.07,Drinkware,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK6128R  ,FlashlightOrkin Telescopic Aluminum w/ M,Inventory,2/12/2020,1,$6.99,$6.99,Flashlights,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK3026   ,MugOrkin 15oz Bistro                    ,Inventory,2/4/2020,3,$6.95,$20.85,Drinkware,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8049A  ,CapOrkin Six Panel                      ,Inventory,2/4/2020,5,$6.56,$32.80,Apparel,Headwear,All
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8067   ,Orkin Trooper Duffel Bag                ,Inventory,2/4/2020,2,$13.00,$26.00,Bags,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK8066   ,EarbudsOrkin Bluetooth Wireless         ,Inventory,2/4/2020,4,$10.21,$40.84,Tech,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7000   ,20oz Hugo Copper Vacuum Insulated Tumble,Inventory,2/4/2020,2,$14.41,$28.82,Drinkware,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK6043   ,PortfolioOrkin Black Leather            ,Inventory,2/4/2020,1,$32.72,$32.72,Office,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK6100   ,BagOrkin Slanted Non-Woven Drawstring   ,Inventory,2/4/2020,2,$4.29,$8.58,Bags,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK6128B  ,FlashlightOrkin Telescopic Aluminum w/ M,Inventory,2/4/2020,1,$6.99,$6.99,Flashlights,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7111K  ,ToolOrkin Swiss Force Meister Multi     ,Inventory,2/4/2020,1,$18.00,$18.00,Tools,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7009   ,CapOrkin Stretch Fit Structured Low Prof,Inventory,2/4/2020,3,$8.00,$24.00,Apparel,Headwear,All
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK6071   ,CoolerOrkin Infinity Sport              ,Inventory,2/4/2020,2,$16.92,$33.84,Coolers,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK2012R  ,TieOrkin Black Diamond Logo             ,Inventory,2/4/2020,2,$20.96,$41.92,Apparel,Tie,Mens
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK6144   ,Front Load Two Port USB Auto Adaptor    ,Inventory,2/4/2020,4,$4.45,$17.80,Tech,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK6128S  ,FlashlightOrkin Telescopic Aluminum w/ M,Inventory,2/4/2020,1,$6.99,$6.99,Flashlights,,
192                 ,00005985 0192,Orkin,192 HOMESTEAD                      ,ORK7111R  ,ToolOrkin Swiss Force Meister Multi     ,Inventory,2/4/2020,1,$18.00,$18.00,Tools,,
196                 ,00005985 0196,Orkin,196 MIAMI  PC                      ,ORK7237K5X,FleeceOrkin Port Authority Value Fleece ,POD,12/13/2020,1,$37.50,$37.50,Apparel,Fleece,Mens
196                 ,00005985 0196,Orkin,196 MIAMI  PC                      ,ORK7283   ,EarbudsOrkin Little Bluetooth           ,Inventory,9/16/2020,1,$15.27,$15.27,Tech,,
196                 ,00005985 0196,Orkin,196 MIAMI  PC                      ,ORK7284   ,ChargerOrkin Energy Wireless            ,Inventory,9/14/2020,1,$12.39,$12.39,Tech,,
196                 ,00005985 0196,Orkin,196 MIAMI  PC                      ,ORK7317   ,UmbrellaOrkin Color Flip Inverted Foldin,Inventory,9/14/2020,2,$18.36,$36.72,Umbrella,,
196                 ,00005985 0196,Orkin,196 MIAMI  PC                      ,ORK6127   ,TumblerOrkin 16oz Hydro Cup with Lid    ,Inventory,9/14/2020,1,$5.95,$5.95,Drinkware,,
196                 ,00005985 0196,Orkin,196 MIAMI  PC                      ,ORK7327   ,BagOrkin Insulated Grocery Tote         ,Inventory,9/14/2020,1,$6.33,$6.33,Bags,,
196                 ,00005985 0196,Orkin,196 MIAMI  PC                      ,ORK7324   ,BagOrkin Game Day Zippered Tote         ,Inventory,9/14/2020,1,$6.18,$6.18,Bags,,
196                 ,00005985 0196,Orkin,196 MIAMI  PC                      ,ORK7326   ,BagOrkin Game Day Wristlet Pouch        ,Inventory,9/14/2020,1,$3.89,$3.89,Bags,,
196                 ,00005985 0196,Orkin,196 MIAMI  PC                      ,ORK7285   ,BagOrkin Large Waterproof Dry           ,Inventory,9/14/2020,1,$6.50,$6.50,Bags,,
196                 ,00005985 0196,Orkin,196 MIAMI  PC                      ,ORK7328   ,BagOrkin Non-Woven Grocery Tote         ,Inventory,9/14/2020,1,$2.99,$2.99,Bags,,
196                 ,00005985 0196,Orkin,196 MIAMI  PC                      ,ORK6100   ,BagOrkin Slanted Non-Woven Drawstring   ,Inventory,9/14/2020,1,$4.29,$4.29,Bags,,
196                 ,00005985 0196,Orkin,196 MIAMI  PC                      ,ORK7000   ,TumblerOrkin 20oz Hugo Copper Vacuum Ins,Inventory,9/14/2020,1,$14.41,$14.41,Drinkware,,
196                 ,00005985 0196,Orkin,196 MIAMI  PC                      ,ORK6133   ,"UmbrellaOrkin 58"" Vented Golf           ",Inventory,9/14/2020,1,$17.40,$17.40,Golf,,
196                 ,00005985 0196,Orkin,196 MIAMI  PC                      ,ORK7276K  ,BagOrkin OGIO Marshall Pack             ,POD,6/17/2020,1,$45.62,$45.62,Bags,,
196                 ,00005985 0196,Orkin,196 MIAMI  PC                      ,ORK2013L  ,TieOrkin Ant Line (Long)                ,Inventory,6/9/2020,5,$21.86,$109.30,Apparel,Tie,Mens
196                 ,00005985 0196,Orkin,196 MIAMI  PC                      ,ORK2013   ,TieOrkin Ant Line                       ,Inventory,6/9/2020,2,$21.41,$42.82,Apparel,Tie,Mens
196                 ,00005985 0196,Orkin,196 MIAMI  PC                      ,ORK6017   ,"DuffleOrkin Boundry 20""                 ",Inventory,6/8/2020,1,$20.21,$20.21,Bags,,
